# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
157	SN83YJsR3w2_a66ae65dba11419683aedcb00688da59	8	0.9930	3.2500,-2.6100 3.2500,5.4000 -3.2800,5.4000 -3.2800,-2.5100 -1.4400,-2.5100 -1.4400,-1.5500 1.9700,-1.5500 1.9700,-2.6100	-1.5100,-2.5600 -1.5100,-1.5600 1.9700,-1.5500 1.9800,-2.5600 3.2500,-2.5600 3.2400,5.4000 -3.2900,5.3900 -3.2800,-2.5600
158	SN83YJsR3w2_b1872d81d95a456494793c284002da68	6	0.9810	1.4000,-1.6000 1.4000,0.6400 1.8800,0.6400 1.8800,3.3500 -1.7100,3.3500 -1.7100,-1.6000	-1.7500,-1.5800 1.3600,-1.6100 1.3800,0.6200 1.8500,0.6200 1.8800,3.3300 -1.7000,3.3600
159	SN83YJsR3w2_b227c3cafc50455eaa601243127e26ec	6	0.9930	0.7000,-2.0400 0.7000,-1.3800 4.4900,-1.3800 4.4900,4.1300 -1.3500,4.1300 -1.3500,-2.0400	4.5100,-1.3700 4.4900,3.7700 4.3200,3.7700 4.3200,4.1400 -1.3600,4.1200 -1.3300,-2.0600 0.7100,-2.0500 0.7100,-1.3800
160	SN83YJsR3w2_c6cb28fe88854b638d8b6b8469943bd3	8	0.9810	0.6800,-9.1500 0.6800,0.7800 -6.1300,0.7800 -6.1300,-8.4100 -4.3000,-8.4100 -4.3000,-6.4700 -1.0100,-6.4700 -1.0100,-9.1500	-0.8600,-9.1400 0.7100,-9.1300 0.6600,0.8000 -6.1500,0.7700 -6.1200,-5.2900 -6.0300,-5.2900 -6.0200,-7.5900 -6.1100,-7.5900 -6.1100,-8.4100 -4.2700,-8.4100 -4.2800,-6.4700 -0.8700,-6.4600
161	SN83YJsR3w2_c94b508e103a4af2a7d54920ca214634	8	0.9800	1.4700,-1.7200 1.4700,6.4400 -0.5800,6.4400 -0.5800,5.0500 -3.5300,5.0500 -3.5300,7.0500 -4.9500,7.0500 -4.9500,-1.7200	-4.9600,-1.3900 -4.4500,-1.3900 -4.4500,-1.7200 1.3800,-1.7400 1.3900,-0.2700 1.3000,-0.2700 1.3000,0.2300 1.4700,0.2300 1.5000,6.4200 -0.5800,6.4300 -0.5800,5.0400 -3.5100,5.0500 -3.5000,7.0500 -4.9300,7.0600 -4.9600,-0.2800 -4.8300,-0.2800 -4.8400,-1.3000 -4.9600,-1.3000
162	SN83YJsR3w2_ca5809206bde40fd93a879721ecfb608	8	0.9930	5.7300,-1.5300 5.7300,2.3100 0.4100,2.3100 0.4100,4.4200 -0.8900,4.4200 -0.8900,-2.1000 0.1100,-2.1000 0.1100,-1.5300	-0.8800,-1.5400 -0.8400,-1.5400 -0.8400,-2.1100 0.1900,-2.1100 0.1900,-1.5400 5.7300,-1.5300 5.7300,2.3100 0.4100,2.3100 0.4100,4.4100 -0.8900,4.4100
163	SN83YJsR3w2_d1de344c27c544be87d6705a81aeb732	6	0.9890	5.5000,-3.2100 5.5000,4.2300 1.7000,4.2300 1.7000,8.2300 -0.9100,8.2300 -0.9100,-3.2100	-0.9200,-3.2100 5.5000,-3.2200 5.5100,4.2300 1.7200,4.2300 1.7200,8.2200 -0.8900,8.2300 -0.9100,0.2600 -0.7400,0.2600 -0.7400,-0.0800 -0.8300,-0.0800 -0.8300,-1.1900 -0.9100,-1.1900 -0.9100,-1.5200 -0.8200,-1.5200 -0.8200,-2.8800 -0.9100,-2.8800
164	SN83YJsR3w2_eedfc04db7404fd08275483db41c4537	8	0.9950	1.4600,-5.1500 1.4600,-3.8000 4.7500,-3.8000 4.7500,0.1300 2.5000,0.1300 2.5000,2.3400 -3.2500,2.3400 -3.2500,-5.1500	-3.2500,-5.1500 1.4600,-5.1500 1.4600,-3.8100 4.7500,-3.8100 4.7600,0.1300 2.5100,0.1300 2.5100,2.3300 -1.1600,2.3400 -1.1600,2.1700 -2.1300,2.1700 -2.1300,2.2600 -3.2400,2.2600
165	SN83YJsR3w2_fb76fb85a5984f3b871b02607a535c8d	6	0.9860	5.9600,-5.8600 5.9600,-3.8700 3.5500,-3.8700 3.5500,0.7000 -2.6200,0.7000 -2.6200,-5.8600	-2.6400,-5.8400 2.6700,-5.8800 2.6700,-5.7000 3.1500,-5.7000 3.1500,-5.7800 5.9300,-5.8000 5.9500,-3.9000 3.5400,-3.8800 3.5800,0.6800 -2.5900,0.7300
166	SN83YJsR3w2_fbce2bf4588444e492e9a9e66fadb5fa	6	0.9860	1.8900,-5.2600 1.8900,1.4100 -1.3400,1.4100 -1.3400,0.8400 -6.0900,0.8400 -6.0900,-5.2600	-6.0800,-5.1600 -4.9000,-5.1500 -4.8900,-5.2600 1.9100,-5.2100 1.8700,1.4500 -1.3600,1.4300 -1.3600,0.8600 -5.3900,0.8300 -5.3900,0.7100 -6.1100,0.7100
167	TbHJrupSAjP_29869aadaa614e5fa1a74873ad03df57	6	0.9850	2.8500,-1.8800 2.8500,2.5400 0.8600,2.5400 0.8600,2.0500 -3.0400,2.0500 -3.0400,-1.8800	-3.0100,-1.9000 2.8700,-1.8200 2.8100,2.5900 0.8300,2.5700 0.8300,2.0800 -3.0700,2.0300
168	TbHJrupSAjP_2b4e25f552e9419c92a44e459d670ee9	8	0.9930	1.5900,-4.5700 1.5900,2.4600 -1.3900,2.4600 -1.3900,0.7600 -6.7900,0.7600 -6.7900,-5.7000 -4.2100,-5.7000 -4.2100,-4.5700	-6.7700,-5.7300 -4.1800,-5.7200 -4.1900,-4.6000 1.6100,-4.5700 1.5700,2.4700 -1.4100,2.4500 -1.4000,0.7500 -6.8000,0.7200
169	TbHJrupSAjP_5aa05f3ff46248e39050dba3e7d8603c	6	0.9840	3.2800,-4.4100 3.2800,2.7700 0.2300,2.7700 0.2300,1.1700 -5.5400,1.1700 -5.5400,-4.4100	-5.5200,-4.3100 -4.3500,-4.3000 -4.3500,-4.4300 3.3000,-4.3800 3.2600,1.5800 3.1800,1.5800 3.1700,2.8100 0.3700,2.7900 0.3700,2.3000 0.2000,2.3000 0.2100,1.1800 -5.3800,1.1500 -5.3800,0.5400 -5.5500,0.5400
170	TbHJrupSAjP_5ec5dd4b73a34fdab5735118235801a2	6	0.9790	0.5800,-3.2800 0.5800,-1.0700 1.4800,-1.0700 1.4800,0.9400 -3.5100,0.9400 -3.5100,-3.2800	-3.5400,-3.2800 0.5600,-3.2900 0.5600,-1.0700 1.4600,-1.0700 1.4600,0.9300 -3.5300,0.9400
171	TbHJrupSAjP_678a1863c78745f282c8357445739ebb	12	0.9880	2.3300,-3.1800 2.3300,-2.3200 4.7400,-2.3200 4.7400,-0.5700 0.5900,-0.5700 0.5900,2.3300 1.9500,2.3300 1.9500,6.7000 -2.0400,6.7000 -2.0400,0.3800 -0.5700,0.3800 -0.5700,-3.1800	-0.5500,-3.1700 2.1000,-3.1600 2.0900,-2.3200 4.7500,-2.3100 4.7500,-0.5500 0.6100,-0.5700 0.6000,2.3400 2.0800,2.3500 2.0800,2.5900 1.9500,2.5900 1.9400,6.7100 -2.0400,6.7000 -2.0200,0.3800 -0.5600,0.3800
172	TbHJrupSAjP_67a27df8992e4e3ba4c52afabbe2da44	12	0.9500	-1.2000,-9.5800 -1.2000,-1.7800 0.2300,-1.7800 0.2300,-0.6100 2.0500,-0.6100 2.0500,1.5400 1.4800,1.5400 1.4800,0.5300 0.3000,0.5300 0.3000,1.0200 -2.5800,1.0200 -2.5800,-9.5800	-2.6400,-9.5700 -1.2600,-9.5800 -1.2000,-1.7800 0.2500,-1.7900 0.2600,-0.6200 2.0400,-0.6300 2.0500,0.5100 2.0100,0.5100 2.0100,0.9100 1.6100,0.9100 1.6000,0.5100 0.2700,0.5200 0.2700,1.0000 -2.5600,1.0300
173	TbHJrupSAjP_6f74aff5213145d989f9a30bcd69a978	10	0.9590	1.5600,-3.3700 1.5600,-1.9700 4.7100,-1.9700 4.7100,-0.7100 3.4400,-0.7100 3.4400,0.6900 1.0600,0.6900 1.0600,1.5200 -0.8700,1.5200 -0.8700,-3.3700	-0.9300,-3.3600 1.5100,-3.4100 1.5400,-2.0200 4.6800,-2.0800 4.7100,-0.8100 3.4400,-0.7800 3.4600,0.6100 1.0700,0.6600 1.0900,1.4800 -0.8300,1.5200
174	TbHJrupSAjP_7504e98760f046d7a8f1b179dc85d93a	8	0.9920	2.6400,-1.0700 2.6400,1.6200 0.5600,1.6200 0.5600,0.8100 0.1500,0.8100 0.1500,3.4700 -4.1400,3.4700 -4.1400,-1.0700	-4.1400,-1.0700 2.6300,-1.0600 2.6300,1.6300 0.5200,1.6200 0.5200,0.8100 0.1400,0.8100 0.1400,3.4700 -4.1500,3.4600
175	TbHJrupSAjP_759672c65fcc4a1ab1e1552fe60c0304	8	0.9460	6.9500,-0.7200 6.9500,1.6500 4.4400,1.6500 4.4400,0.6600 0.3400,0.6600 0.3400,2.1000 -2.1400,2.1000 -2.1400,-0.7200	-2.1600,-0.6800 1.9800,-0.7100 1.9800,-0.6000 3.0800,-0.6100 3.0800,-0.7200 5.0300,-0.7300 5.0300,-0.5400 5.7100,-0.5500 5.7100,-0.7300 5.7800,-0.7300 5.7800,-0.5500 6.1800,-0.5500 6.1800,-0.5500 6.6400,-0.5500 6.6400,-0.7400 6.9400,-0.7400 6.9600,1.8300 6.8300,1.8300 6.8300,1.6600 4.4500,1.6700 4.4500,0.6600 0.3400,0.6900 0.3500,1.8800 -2.1400,1.8900
176	TbHJrupSAjP_8808b20fbd4f4791a13aae0ca4c28b7d	6	1.0000	1.2900,-4.5100 1.2900,0.5600 -2.7200,0.5600 -2.7200,-3.2100 -0.6400,-3.2100 -0.6400,-4.5100	-0.6400,-4.5000 1.2900,-4.5000 1.3000,0.5700 -2.7200,0.5700 -2.7200,-3.2000 -0.6400,-3.2000
177	TbHJrupSAjP_9aa641ad8268410ab98f7941baf2391d	14	0.9860	4.9600,-6.0300 4.9600,0.8200 0.3200,0.8200 0.3200,1.6000 2.4500,1.6000 2.4500,3.0700 0.1600,3.0700 0.1600,4.0900 -1.0500,4.0900 -1.0500,2.5200 -2.5100,2.5200 -2.5100,-1.1800 0.5300,-1.1800 0.5300,-6.0300	0.5600,-6.0400 4.9900,-6.0000 4.9300,0.8600 0.2900,0.8100 0.2800,1.5900 2.4200,1.6100 2.4000,3.0800 0.2700,3.0600 0.2700,3.1100 0.1500,3.1100 0.1400,4.0900 -1.1000,4.0700 -1.0800,2.5200 -2.5400,2.5100 -2.5000,-1.2100 0.5200,-1.1900
178	TbHJrupSAjP_b48f150202734a7ea60102e1d22d216e	10	0.9770	0.8800,-8.6000 0.8800,1.0200 -3.4900,1.0200 -3.4900,-1.9500 -2.0300,-1.9500 -2.0300,-0.6500 -0.5300,-0.6500 -0.5300,-5.2600 -1.8600,-5.2600 -1.8600,-8.6000	-1.8600,-8.6000 0.8800,-8.5900 0.8500,1.0200 -3.5200,1.0100 -3.5100,-1.9500 -2.0900,-1.9500 -2.0900,-0.6500 -0.5500,-0.6400 -0.5400,-5.2600 -1.8700,-5.2600
180	TbHJrupSAjP_d142b55fe4fb4e1cb26608085d729ac2	6	0.9820	-0.8200,-5.6200 -0.8200,-0.8500 0.7800,-0.8500 0.7800,1.9000 -2.1300,1.9000 -2.1300,-5.6200	-2.1300,1.9000 -2.1300,1.6300 -1.9500,1.6300 -1.9500,1.0800 -1.9500,1.0800 -1.9500,0.6000 -2.1300,0.6000 -2.1300,-5.6200 -0.8200,-5.6200 -0.8200,-0.8400 0.7800,-0.8400 0.7800,1.9000
181	TbHJrupSAjP_f192ea07f69a47939aff3027b87529a5	8	0.9820	-1.2500,-3.1400 -1.2500,-0.5500 2.2300,-0.5500 2.2300,2.1000 0.3000,2.1000 0.3000,0.7200 -3.2300,0.7200 -3.2300,-3.1400	-3.2100,-3.1600 -1.2300,-3.1500 -1.2400,-0.5600 2.2400,-0.5400 2.2200,2.1100 0.2900,2.1000 0.3000,0.7200 -3.2300,0.7000
182	TbHJrupSAjP_f320ae084f3a447da3e8ab11dd5f9320	6	0.9850	0.8600,-1.2500 0.8600,3.1200 -3.9100,3.1200 -3.9100,0.0000 -0.8000,0.0000 -0.8000,-1.2500	-3.9000,-0.0300 -0.7900,-0.0100 -0.7800,-1.2600 0.8700,-1.2500 0.8500,3.1300 -3.9200,3.1000
183	TbHJrupSAjP_fa1e045efce4481f9b398c97366a5dcc	6	0.9840	1.9000,-3.3500 1.9000,1.0800 -7.9400,1.0800 -7.9400,-0.8400 -3.3300,-0.8400 -3.3300,-3.3500	-3.3300,-3.3400 1.9000,-3.3500 1.9100,1.0800 -4.4800,1.1000 -4.4800,0.9800 -5.3600,0.9900 -5.3600,0.9800 -6.2800,0.9800 -6.2800,1.1000 -6.5800,1.1000 -6.5800,0.9400 -6.9300,0.9400 -6.9300,0.8600 -7.9300,0.8600 -7.9300,-0.8200 -3.3200,-0.8300
184	ULsKaCPVFJR_c73a6f3769bc471588158d99186b80e6	6	1.0000	0.8800,-2.6100 0.8800,-0.0100 4.3500,-0.0100 4.3500,1.4400 -0.9700,1.4400 -0.9700,-2.6100	-0.9800,-2.6100 0.8700,-2.6200 0.8800,-0.0200 4.3500,-0.0200 4.3600,1.4300 -0.9700,1.4400
185	ULsKaCPVFJR_c8ae82ea5c134b8ba10bb8148f1eee2d	8	0.9960	1.0500,-0.6300 1.0500,0.9500 0.6400,0.9500 0.6400,3.2800 1.7100,3.2800 1.7100,7.4200 -3.5200,7.4200 -3.5200,-0.6300	-3.5300,-0.6200 0.6300,-0.6300 0.6300,-0.5900 1.0400,-0.5900 1.0500,0.9400 0.6300,0.9400 0.6400,3.2700 1.7100,3.2700 1.7200,7.4100 -3.5100,7.4300
186	ULsKaCPVFJR_dd567b91bf7147b3869277c4d0691452	8	0.9960	2.6200,-2.1300 2.6200,2.4500 -3.3800,2.4500 -3.3800,-2.1300 -1.2500,-2.1300 -1.2500,-3.3800 1.1800,-3.3800 1.1800,-2.1300	-1.2600,-3.3700 1.1600,-3.3800 1.1700,-2.1400 2.6100,-2.1500 2.6300,2.4400 -3.3600,2.4700 -3.3800,-2.1100 -1.2600,-2.1200
187	UwV83HsGsw3_1018c8753d68416e8f2d48a144282aeb	6	0.9800	0.9800,-5.5800 0.9800,-1.3500 1.8900,-1.3500 1.8900,0.6300 -2.9000,0.6300 -2.9000,-5.5800	-2.9100,-5.5600 0.9700,-5.5900 1.0000,-1.3500 1.9200,-1.3600 1.9300,0.6100 -2.6900,0.6500 -2.7000,-0.0900 -2.8600,-0.0900
188	UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8	6	0.9830	0.5200,-3.3200 0.5200,-1.7500 3.4800,-1.7500 3.4800,1.3300 -0.6100,1.3300 -0.6100,-3.3200	-0.6300,-3.3100 0.5000,-3.3100 0.5100,-1.7500 3.4600,-1.7700 3.4800,1.3200 -0.6000,1.3500
189	UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de	6	0.9850	3.3300,-2.9500 3.3300,0.7000 -0.5700,0.7000 -0.5700,1.6800 -2.5400,1.6800 -2.5400,-2.9500	-2.5600,-2.9200 3.3100,-2.9600 3.3300,0.7000 -0.5700,0.7200 -0.5600,1.6900 -2.5300,1.7100
190	UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77	6	1.0000	0.5400,-2.8700 0.5400,1.6800 -0.6000,1.6800 -0.6000,0.1800 -3.3600,0.1800 -3.3600,-2.8700	-3.3500,-2.8700 0.5500,-2.8700 0.5600,1.6700 -0.6000,1.6800 -0.6000,0.1700 -3.3500,0.1800
191	UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186	6	0.9740	0.3900,-1.6900 0.3900,-0.9500 1.7600,-0.9500 1.7600,4.0100 -0.5200,4.0100 -0.5200,-1.6900	-0.5200,-1.7200 0.3900,-1.7100 0.3800,-0.9700 1.7600,-0.9600 1.7400,4.0000 -0.5500,3.9900
192	UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6	6	0.9830	2.3300,-3.9200 2.3300,1.7600 -1.3000,1.7600 -1.3000,-2.0600 -2.2700,-2.0600 -2.2700,-3.9200	-1.2800,1.7600 -1.3100,-2.0500 -2.2800,-2.0500 -2.2900,-3.9100 2.3100,-3.9500 2.3600,1.7300
193	UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8	6	0.9890	1.4100,-0.4100 1.4100,2.7500 -2.6400,2.7500 -2.6400,-1.7500 -1.5600,-1.7500 -1.5600,-0.4100	-2.6400,-1.7400 -1.5500,-1.7400 -1.5500,-0.4100 1.4100,-0.4100 1.4100,2.7600 -2.6400,2.7600
194	UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980	6	0.9970	-0.4200,-5.3500 -0.4200,-1.3900 0.5200,-1.3900 0.5200,0.6100 -4.2200,0.6100 -4.2200,-5.3500	-4.2100,0.6100 -4.2100,-5.3500 -0.4100,-5.3500 -0.4100,-1.3800 0.5200,-1.3800 0.5200,0.6100
195	UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407	8	0.9740	2.9600,-4.1400 2.9600,-1.0500 0.5700,-1.0500 0.5700,3.1200 -0.4800,3.1200 -0.4800,0.2600 -4.8000,0.2600 -4.8000,-4.1400	-4.7900,-4.1500 2.9700,-4.1000 2.9500,-1.0100 0.5500,-1.0200 0.5400,0.8000 0.3700,0.8000 0.3700,1.1600 0.5300,1.1600 0.5200,3.1500 -0.5300,3.1400 -0.5100,0.2800 -4.8200,0.2500
196	V2XKFyX4ASd_0ce7a1fe811a44d98744e968d9b44dc4	6	0.9910	1.4700,-8.1100 1.4700,0.8000 -3.7900,0.8000 -3.7900,-7.2200 -2.0700,-7.2200 -2.0700,-8.1100	-3.7800,0.8300 -3.7900,-7.1900 -2.0700,-7.1900 -2.0700,-8.0700 1.4700,-8.0800 1.4800,0.8200
197	V2XKFyX4ASd_1ad77d6ebc304b7894e4608ac7738b8a	6	0.9860	8.1200,-2.1000 8.1200,3.0900 0.3300,3.0900 0.3300,1.3300 -0.6400,1.3300 -0.6400,-2.1000	-0.6300,-2.0700 8.1400,-2.1100 8.1600,3.0800 0.9900,3.1000 0.9900,2.9800 0.3700,2.9800 0.3600,1.3500 -0.1600,1.3500 -0.1600,1.1600 -0.6100,1.1700
198	V2XKFyX4ASd_3d8bc9f4323a47ef99f8210711ca1b60	6	0.9900	1.0400,-7.4300 1.0400,3.8300 -3.9400,3.8300 -3.9400,-4.8300 -0.7000,-4.8300 -0.7000,-7.4300	-3.9300,3.8400 -3.9500,-4.8200 -0.7200,-4.8300 -0.7300,-7.4300 1.0300,-7.4400 1.0300,-6.9700 0.7600,-6.9700 0.7600,-6.4500 0.9100,-6.4500 0.9100,-5.2900 1.0300,-5.2900 1.0400,-4.8500 0.9300,-4.8500 0.9300,-3.4900 1.0400,-3.4900 1.0600,3.8300
199	V2XKFyX4ASd_479ed85f86aa4a8bab37194b5eeaa051	6	0.9970	5.0100,-3.7900 5.0100,1.2700 -1.3700,1.2700 -1.3700,-1.9000 -0.4900,-1.9000 -0.4900,-3.7900	-0.4800,-3.7900 5.0200,-3.8000 5.0400,1.2600 -1.3500,1.2700 -1.3600,-1.9000 -0.4700,-1.9000
200	V2XKFyX4ASd_4868d91f4f544213acd2c266c98befaa	6	0.9820	1.4800,-4.7800 1.4800,3.8700 -2.0500,3.8700 -2.0500,2.9100 -3.7700,2.9100 -3.7700,-4.7800	-3.7500,2.9000 -3.7700,-4.7900 1.4800,-4.8000 1.4900,2.1700 1.2500,2.1700 1.2500,3.8500 -2.0400,3.8500 -2.0400,2.9000
201	V2XKFyX4ASd_500527577f0b4e0db97d0a3e4de565dd	6	0.9820	0.7300,-2.0400 0.7300,1.3700 -0.1800,1.3700 -0.1800,3.0000 -8.2600,3.0000 -8.2600,-2.0400	-8.2500,-2.0600 0.7400,-1.9900 0.7200,1.3400 -0.1900,1.3300 -0.2000,3.0500 -6.5900,3.0000 -6.5900,2.8200 -7.0200,2.8100 -7.0200,2.9000 -8.2900,2.8900
202	V2XKFyX4ASd_64685718397043c08a14614bb91e36bc	6	0.9880	1.2100,-6.2500 1.2100,1.9500 -3.7300,1.9500 -3.7300,-5.4700 -2.0000,-5.4700 -2.0000,-6.2500	-3.7000,1.9900 -3.7500,-5.4300 -2.0400,-5.4400 -2.0400,-6.2200 1.1800,-6.2500 1.2400,1.9500
203	V2XKFyX4ASd_65b7fe76c12f44f1b67c5ad7b03ba63b	6	0.9860	5.4400,-1.2900 5.4400,2.1800 4.5000,2.1800 4.5000,3.8400 -3.2800,3.8400 -3.2800,-1.2900	-3.2900,-1.3200 5.4400,-1.2800 5.4200,2.2000 4.4800,2.2000 4.4700,3.8500 -1.6200,3.8200 -1.6200,3.7100 -2.4800,3.7000 -2.4800,3.8200 -3.3100,3.8200
204	V2XKFyX4ASd_6d0b2a9abbed4e6b812b898f027fc9f9	6	0.9870	3.2400,-2.5100 3.2400,5.7600 -1.7200,5.7600 -1.7200,-1.6300 -0.0100,-1.6300 -0.0100,-2.5100	-1.6900,5.7800 -1.7400,-1.6000 -0.0200,-1.6100 -0.0300,-2.4900 2.3500,-2.5100 2.3500,-2.3900 3.2200,-2.4000 3.2700,5.7500
205	V2XKFyX4ASd_71834224b28f45aca00f1c19f2ba0668	6	0.9850	4.2100,-6.4700 4.2100,1.9700 0.7900,1.9700 0.7900,1.0400 -0.9200,1.0400 -0.9200,-6.4700	-0.9400,1.0100 -0.9100,-6.5000 4.2200,-6.4700 4.1900,1.9600 0.7600,1.9500 0.7600,1.0200
206	V2XKFyX4ASd_788770d79fc940cfa0b70fdd7c4f58d0	6	0.9960	1.2000,-2.6500 1.2000,3.8900 -1.8300,3.8900 -1.8300,2.9500 -3.5600,2.9500 -3.5600,-2.6500	-3.5600,-2.6700 1.1900,-2.6700 1.1900,3.8700 -1.8400,3.8700 -1.8400,2.9400 -3.5600,2.9300
207	V2XKFyX4ASd_79103bf93d81464786b23dc26991d23e	6	0.9900	2.4000,-5.7800 2.4000,3.0800 -1.0900,3.0800 -1.0900,2.1700 -2.8900,2.1700 -2.8900,-5.7800	-2.8900,-5.7900 2.4100,-5.7800 2.3900,0.9100 2.3100,0.9100 2.3000,3.0800 -1.0200,3.0700 -1.0200,2.1700 -2.9000,2.1600
208	V2XKFyX4ASd_86abf0dfba5c44d383ff3dfc701c6ee6	6	0.9910	5.6600,-1.7600 5.6600,3.2400 -2.6800,3.2400 -2.6800,-0.1400 -5.0600,-0.1400 -5.0600,-1.7600	-5.0400,-1.7900 5.6800,-1.7200 5.6500,3.1900 3.2700,3.1700 3.2700,3.2600 -2.6900,3.2200 -2.6700,-0.1300 -5.0500,-0.1500
209	V2XKFyX4ASd_896df402e31046c495d09d9370dc054a	6	0.9860	8.2700,-1.2800 8.2700,2.2700 6.9800,2.2700 6.9800,3.9700 -0.8600,3.9700 -0.8600,-1.2800	-0.8900,-1.2700 8.2500,-1.3400 8.2800,2.2200 6.9900,2.2300 7.0000,3.9200 -0.2600,3.9800 -0.2600,3.8100 -0.8500,3.8200
210	V2XKFyX4ASd_8e5ae8d7ee55420f80bf433f33e790fe	6	0.9990	3.2700,-5.8700 3.2700,0.8200 -1.3200,0.8200 -1.3200,-6.8100 1.8100,-6.8100 1.8100,-5.8700	-1.3200,-6.8000 1.8200,-6.7900 1.8200,-5.8500 3.2600,-5.8500 3.2500,0.8400 -1.3400,0.8300
211	V2XKFyX4ASd_975da2a88145482aabcac7255f0a45cf	6	0.9860	8.1800,-2.9900 8.1800,0.5500 6.8800,0.5500 6.8800,2.0600 -0.7500,2.0600 -0.7500,-2.9900	-0.7700,-2.9800 7.1600,-3.0100 7.1600,-2.8500 7.5300,-2.8500 7.5300,-2.8500 8.1600,-2.8500 8.1700,0.5400 6.8700,0.5400 6.8800,2.0300 -0.7500,2.0600
212	V2XKFyX4ASd_98e10164fed14c2baaa107af2560555e	6	0.9900	8.6900,-0.8300 8.6900,4.5000 -0.5300,4.5000 -0.5300,0.8000 -2.7800,0.8000 -2.7800,-0.8300	-2.8000,-0.8100 -1.5600,-0.8200 -1.5600,-0.6000 -1.1800,-0.6000 -1.1800,-0.8200 8.6700,-0.8600 8.7000,4.4700 -0.5300,4.5100 -0.5500,0.8000 -2.7900,0.8100
213	V2XKFyX4ASd_9fb720a0582945cc81a6e6d2b63b6b30	6	0.9910	3.2300,-0.9400 3.2300,2.4200 2.3900,2.4200 2.3900,4.0500 -5.1500,4.0500 -5.1500,-0.9400	-5.1600,-0.9500 3.2200,-0.9200 3.2100,2.4300 2.3700,2.4300 2.3700,4.0700 -5.1000,4.0400 -5.0900,2.4000 -5.1700,2.4000
214	V2XKFyX4ASd_a426fc0b709e42e1a8ee8ede0de335f7	6	0.9900	1.7500,-1.5600 1.7500,0.0900 2.8000,0.0900 2.8000,3.4400 -5.1600,3.4400 -5.1600,-1.5600	-5.1600,-1.5600 1.7500,-1.5400 1.7400,0.1000 2.7900,0.1000 2.7800,3.4600 -5.1800,3.4300
215	V2XKFyX4ASd_cd7869a1f80046b5adeeb20d8108a409	6	0.9930	0.9300,-0.7300 0.9300,6.2300 -2.6800,6.2300 -2.6800,5.5300 -4.7500,5.5300 -4.7500,-0.7300	-4.7600,5.5100 -4.7500,-0.7500 0.9300,-0.7400 0.9100,6.1000 0.0400,6.1000 0.0400,6.2200 -2.6900,6.2200 -2.6900,5.5100
216	V2XKFyX4ASd_dcb7130402734c3e8735b24d8afc2406	6	0.9860	5.7200,-1.3200 5.7200,2.1400 4.7100,2.1400 4.7100,3.8000 -2.9500,3.8000 -2.9500,-1.3200	-2.9400,-1.3400 5.7200,-1.2900 5.7000,2.0200 5.2400,2.0200 5.2400,2.1800 4.7000,2.1800 4.6900,3.8300 -2.9700,3.7800
217	V2XKFyX4ASd_f2ad72c11231453fa9a85ea2cb22be42	6	0.9860	3.3800,-4.0900 3.3800,-2.2500 4.5800,-2.2500 4.5800,1.2400 -4.4600,1.2400 -4.4600,-4.0900	-4.5000,-3.9100 -3.8200,-3.9100 -3.8200,-4.0700 3.3300,-4.1200 3.3500,-2.2800 4.5500,-2.2800 4.5700,1.2000 -4.4600,1.2700
218	V2XKFyX4ASd_f5a31e39d8fa40e89bbbc110bf25de2c	6	0.9820	0.9800,-3.2600 0.9800,5.3500 -4.0600,5.3500 -4.0600,-2.2200 -2.4200,-2.2200 -2.4200,-3.2600	-4.0000,5.4100 -4.0900,-2.1700 -2.4500,-2.1900 -2.4700,-3.2200 0.9400,-3.2600 1.0400,5.3500
219	VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4	6	0.9840	1.7900,-3.3500 1.7900,-1.1800 0.9800,-1.1800 0.9800,0.9800 -4.3200,0.9800 -4.3200,-3.3500	-4.3300,-3.3700 1.7800,-3.3200 1.7600,-1.1800 0.9500,-1.1800 0.9300,1.0000 -4.3600,0.9600
220	VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e	6	0.9540	2.3400,-2.5700 2.3400,0.7100 0.3200,0.7100 0.3200,1.1800 -1.3300,1.1800 -1.3300,-2.5700	-1.3600,-2.5900 2.3000,-2.6400 2.3500,0.6400 0.3200,0.6700 0.3300,1.1300 -1.3100,1.1500
221	VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916	6	0.9910	2.6700,-2.7500 2.6700,0.8600 -0.6300,0.8600 -0.6300,-1.0100 -1.1100,-1.0100 -1.1100,-2.7500	-1.1000,-2.7700 2.6800,-2.7400 2.6500,0.8700 -0.6400,0.8400 -0.6300,-1.0200 -1.1100,-1.0300
